District,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9
Mhondoro-Ngezi,0.33128817,0.300316073,0.250743707,0.173465389,0.090625165,0.024392638,0.009308854,0,0,0.191299598,0.171840382,0.143507981,0.100941269,0.053833577,0.012624674,0.005171536,0,0,0.154525463,0.138229907,0.117581845,0.083334367,0.04565871,0.011183772,0.004579015,0,0
Mountt Darwin,0.419736755,0.41418467,0.375482041,0.260981353,0.144937178,0.052297574,0.020183433,0,0,0.241075215,0.238015389,0.217027882,0.153352888,0.085512834,0.030579876,0.012409148,0,0,0.188038061,0.185642806,0.169071984,0.121370868,0.068249994,0.024805228,0.010634922,0,0
Murehwa,0.421291783,0.410140091,0.379995535,0.268334317,0.141532583,0.069151984,0.046919736,0.022628426,0.008849658,0.236753236,0.229958713,0.213125079,0.147653962,0.077172005,0.037658361,0.025427502,0.011905555,0.004520251,0.195132048,0.189836971,0.176682033,0.124114956,0.066644603,0.033000366,0.022084619,0.010663124,0.004030417
Mutare Rural,0.399833281,0.388400491,0.341588225,0.23555024,0.114607846,0.027308367,0.010831463,0.010831463,0.010831463,0.228576039,0.222976309,0.199851178,0.136343778,0.064433031,0.015446683,0.005834358,0.005834358,0.005834358,0.181452857,0.177111345,0.160938851,0.111696804,0.052121927,0.013583014,0.005176915,0.005176915,0.005176915
Mutare Urban,0.224133355,0.16763024,0.12384043,0.091189277,0.033760008,0.005649484,0.005649484,0,0,0.133388803,0.099416932,0.074487967,0.058873776,0.02336991,0.004069062,0.004069062,0,0,0.113767851,0.084156773,0.064888647,0.052254701,0.021750834,0.004069062,0.004069062,0,0
Mutasa,0.357752416,0.340597366,0.299353137,0.186212892,0.064165186,0.013805392,0.001580908,0,0,0.199476337,0.19100549,0.168284874,0.103204176,0.035932707,0.008166966,0.000801271,0,0,0.163583831,0.156396905,0.13784986,0.084559657,0.030554486,0.007376696,0.000702117,0,0
Mutoko,0.401062693,0.393784259,0.36519671,0.233596278,0.11272044,0.048832586,0.024224555,0,0,0.242862444,0.23655156,0.218651319,0.138965261,0.068120569,0.030742806,0.014318511,0,0,0.203044997,0.197384158,0.182704809,0.115304618,0.05762137,0.026027194,0.012657535,0,0
Muzarabani,0.459461736,0.45678315,0.434822389,0.351248588,0.180635159,0.075256067,0.035593218,0.009139662,0.005178665,0.271504341,0.269764339,0.256809379,0.206784115,0.105918072,0.04189802,0.019452588,0.005061481,0.002917061,0.214836186,0.213396714,0.204005378,0.165013334,0.085636932,0.034401329,0.016632842,0.004540433,0.002493585
Mvuri,0.127360191,0.069996876,0,0,0,0,0,0,0,0.081329035,0.04244382,0,0,0,0,0,0,0,0.04906345,0.03127575,0,0,0,0,0,0,0
Mwezeni,0.45845083,0.455208974,0.430059751,0.326964786,0.205781039,0.071859629,0.030202131,0.009075349,0,0.271461744,0.269914499,0.253871285,0.190772037,0.11941482,0.043833675,0.019045572,0.005123132,0,0.215903566,0.214689762,0.201424121,0.15074782,0.094640707,0.036019341,0.016570148,0.004474684,0
