District_ID,District_name,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9,M0_education_max,M0_education_dropout,M0_health_chronic,M0_health_visit,M0_employment,M0_assets,M0_services,M0_electricity,M0_cooking_fuel,M0_water,M0_toilet,M0_land,M0_livestock,M0_rural_equip,M1_education_max,M1_education_dropout,M1_health_chronic,M1_health_visit,M1_employment,M1_assets,M1_services,M1_electricity,M1_cooking_fuel,M1_water,M1_toilet,M1_land,M1_livestock,M1_rural_equip,M2_education_max,M2_education_dropout,M2_health_chronic,M2_health_visit,M2_employment,M2_assets,M2_services,M2_electricity,M2_cooking_fuel,M2_water,M2_toilet,M2_land,M2_livestock,M2_rural_equip
56,Umzingwane,0.38149633,0.36297194,0.33097349,0.22133905,0.11353222,0.03723806,0.01248362,0.00725161,0.00725161,0.21507637,0.20580019,0.18916943,0.12922762,0.06555009,0.02235559,0.00770025,0.0045505,0.0045505,0.17213504,0.16435112,0.15196801,0.10497829,0.05327976,0.01777637,0.00593521,0.0035968,0.0035968,0.18559103,0,0.65763783,0.13032286,0,0.57890577,0.66122758,0.22664284,0.45924371,0.14905743,0.17256895,0.06376578,0.20743391,0.15075686,0.09279552,0,0.32881892,0.06516143,0,0.45428411,0.30269369,0.06799285,0.22962186,0.08667683,0.08628448,0.07586898,0.21644862,0.04522706,0.03093184,0,0.32881892,0.06516143,0,0.39197329,0.12225953,0.06799285,0.22962186,0.04094851,0.04314224,0.07529701,0.20255711,0.04522706
57,Uzumba Maramba Pfungwe (UMP),0.45197826,0.44990964,0.42348748,0.32425751,0.18692191,0.07589357,0.0288258,0.01230033,0.01230033,0.26483803,0.2635683,0.24773321,0.1897241,0.10486631,0.04201537,0.0149604,0.00679203,0.00679203,0.21544144,0.21435776,0.2013023,0.15483789,0.08509581,0.03519315,0.01266873,0.00607344,0.00607344,0.24882906,0.00995383,0.39796354,0.17231415,0,0.81649001,0.68828521,0.38249203,0.49044506,0.22502512,0.1839117,0.11484743,0.32916082,0.23407544,0.12441453,0.00557539,0.19898177,0.08615707,0,0.66598186,0.27874119,0.11748726,0.24522253,0.15294546,0.09562223,0.12082255,0.35378679,0.07022264,0.04147151,0.00266862,0.19898177,0.08615707,0,0.59072778,0.1040747,0.11748726,0.24522253,0.08621691,0.05147749,0.11615847,0.33582698,0.07022264
58,Zaka,0.42611338,0.4169399,0.38994311,0.29773621,0.16834857,0.05263858,0.00985434,0,0,0.26406587,0.25924134,0.24244504,0.18394703,0.10320104,0.03165825,0.00564325,0,0,0.20875035,0.20546025,0.19273402,0.14545502,0.08277984,0.02593289,0.00477702,0,0,0.17649447,0,0.46270048,0.1232096,0,0.83884719,0.800291,0.15767052,0.49268617,0.2581316,0.33710306,0.02276907,0.19733954,0.1808344,0.09105407,0,0.23135024,0.0616048,0,0.70821651,0.5055212,0.04730116,0.24634308,0.18702614,0.16855153,0.02732288,0.1800838,0.05425032,0.03315819,0,0.23135024,0.0616048,0,0.64290117,0.28224984,0.04730116,0.24634308,0.11137462,0.08427576,0.02732288,0.16099625,0.05425032
59,Zvimba,0.45732229,0.45135567,0.4275166,0.32169462,0.20714473,0.1139597,0.0573708,0.01164269,0.00550758,0.25555495,0.25192215,0.23919735,0.17905853,0.11372105,0.06147123,0.03062746,0.00633406,0.00269665,0.2043118,0.20144097,0.19104885,0.14395604,0.09201426,0.05037021,0.02486884,0.00503098,0.00211286,0.21528662,0.02395436,0.43054966,0.42809736,0,0.77516284,0.74049978,0.29019285,0.48150264,0.20767244,0.17744233,0.01121073,0.25188815,0.31483708,0.10764331,0.02207539,0.21527483,0.21404868,0,0.6218921,0.32020637,0.08705786,0.24075132,0.14716585,0.08872117,0.01294395,0.25718989,0.09445113,0.03588111,0.01518877,0.21527483,0.21404868,0,0.54525673,0.12017898,0.08705786,0.24075132,0.0788331,0.04436058,0.01251238,0.23881642,0.09445113
60,Zvishavane,0.32713703,0.30396419,0.26519584,0.16187162,0.08219217,0.02262163,0,0,0,0.19269463,0.17985132,0.15444696,0.0957336,0.04832032,0.01460475,0,0,0,0.16217982,0.15178617,0.12968054,0.08228011,0.04342564,0.01290787,0,0,0,0.10128383,0.005069,0.5318893,0.18637007,0.08694386,0.69256822,0.45979866,0.2002524,0.37848756,0.08368522,0.16615196,0.00853601,0.12905963,0.11071502,0.05064192,0.0060828,0.26594465,0.09318503,0.06520789,0.55582596,0.19800875,0.09529356,0.18924378,0.06557453,0.08968955,0.01024322,0.13588054,0.03321451,0.01688064,0.00486624,0.26594465,0.09318503,0.06520789,0.48745484,0.07667547,0.09529356,0.18924378,0.05012999,0.05145835,0.01024322,0.1243478,0.03321451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
